Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
184,1053.39,626.0,1884.0,2510.0,,38.31,412.0,5013.0,5425.0,,9.27,412.0,4747.0,5159.0
185,18.47,412.0,1885.0,2297.0,,1063.28,552.0,3563.0,4115.0,,9.11,412.0,4746.0,5158.0
186,18.72,412.0,1883.0,2295.0,,27.79,1165.0,5012.0,6177.0,,1020.37,552.0,3298.0,3850.0
187,1081.89,626.0,1885.0,2511.0,,27.96,412.0,5013.0,5425.0,,9.58,412.0,4747.0,5159.0
188,18.04,412.0,1885.0,2297.0,,8602.91,692.0,3564.0,4256.0,,1056.44,626.0,3299.0,3925.0
189,225.93,412.0,1884.0,2296.0,,27.51,412.0,5012.0,5424.0,,8.81,346.0,4746.0,5092.0
190,18.73,412.0,1885.0,2297.0,,1050.25,692.0,3565.0,4257.0,,9.2,346.0,4746.0,5092.0
191,19.0,412.0,1884.0,2296.0,,235.56,2004.0,2335.0,4339.0,,8.78,412.0,4745.0,5157.0
192,18.18,412.0,1884.0,2296.0,,28.38,412.0,5013.0,5425.0,,9.01,412.0,5389.0,5801.0
193,18.47,412.0,1884.0,2296.0,,4117.61,774.0,3563.0,4337.0,,9.11,412.0,4747.0,5159.0
194,18.1,412.0,1884.0,2296.0,,30.08,412.0,5013.0,5425.0,,9.01,412.0,4747.0,5159.0
195,18.75,412.0,1885.0,2297.0,,32.71,1087.0,5012.0,6099.0,,1024.01,692.0,3299.0,3991.0
196,220.83,412.0,1885.0,2297.0,,33.12,2004.0,2335.0,4339.0,,9.64,346.0,4746.0,5092.0
197,428.71,412.0,1884.0,2296.0,,27.87,412.0,5013.0,5425.0,,8.83,346.0,4747.0,5093.0
198,2076.84,560.0,1885.0,2445.0,,31.68,2004.0,2335.0,4339.0,,8.79,412.0,4747.0,5159.0
199,18.5,412.0,1885.0,2297.0,,28.45,412.0,5012.0,5424.0,,9.15,412.0,4747.0,5159.0
200,223.76,412.0,1885.0,2297.0,,30.02,412.0,5013.0,5425.0,,8.88,412.0,4746.0,5158.0
201,18.34,346.0,1885.0,2231.0,,32.39,412.0,5012.0,5424.0,,223.37,478.0,3299.0,3777.0
202,18.51,412.0,1885.0,2297.0,,31.34,412.0,5012.0,5424.0,,8.79,346.0,4745.0,5091.0
203,18.47,412.0,1885.0,2297.0,,26.77,412.0,5013.0,5425.0,,2069.22,626.0,3299.0,3925.0
204,1047.14,626.0,1884.0,2510.0,,239.69,2733.0,3565.0,6298.0,,1009.62,692.0,3299.0,3991.0
205,18.17,412.0,1885.0,2297.0,,29.54,412.0,5013.0,5425.0,,9.35,412.0,4746.0,5158.0
206,18.39,346.0,1884.0,2230.0,,31.5,412.0,5012.0,5424.0,,9.33,412.0,4747.0,5159.0
207,23.78,412.0,1884.0,2296.0,,31.27,2004.0,2335.0,4339.0,,9.32,412.0,4746.0,5158.0
208,18.31,412.0,1885.0,2297.0,,1450.55,692.0,3564.0,4256.0,,13.25,2004.0,2202.0,4206.0
209,3336.66,634.0,1885.0,2519.0,,27.77,412.0,5013.0,5425.0,,219.15,478.0,3297.0,3775.0
210,18.64,412.0,1884.0,2296.0,,27.38,412.0,5013.0,5425.0,,10.66,412.0,4747.0,5159.0
211,1036.11,626.0,1884.0,2510.0,,27.82,412.0,5013.0,5425.0,,11.62,412.0,4747.0,5159.0
212,18.5,412.0,1884.0,2296.0,,27.9,412.0,5012.0,5424.0,,10.34,1032.0,4747.0,5779.0
213,227.43,412.0,1885.0,2297.0,,26.76,412.0,5013.0,5425.0,,9.46,346.0,4747.0,5093.0
214,429.34,2163.0,775.0,2938.0,,1048.61,552.0,3564.0,4116.0,,9.98,412.0,4747.0,5159.0
215,18.83,346.0,1884.0,2230.0,,26.3,412.0,5012.0,5424.0,,1239.44,2012.0,2202.0,4214.0
216,18.98,412.0,1884.0,2296.0,,26.46,412.0,5013.0,5425.0,,9.12,412.0,4746.0,5158.0
217,225.36,412.0,1885.0,2297.0,,2092.63,626.0,3565.0,4191.0,,8.93,412.0,4746.0,5158.0
