Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
95,1246.76,486.0,1705.0,2191.0,,210.89,412.0,1622.0,2034.0,,16.54,412.0,3968.0,4380.0,,6.66,412.0,3886.0,4298.0,,5.09,412.0,3774.0,4186.0
96,8.82,346.0,1705.0,2051.0,,1269.43,486.0,1621.0,2107.0,,16.8,412.0,3969.0,4381.0,,7.38,412.0,3886.0,4298.0,,4.89,412.0,3774.0,4186.0
97,8.83,412.0,1704.0,2116.0,,6.47,412.0,1623.0,2035.0,,17.04,412.0,3969.0,4381.0,,10.19,2859.0,1874.0,4733.0,,4.84,412.0,3773.0,4185.0
98,8.64,412.0,1705.0,2117.0,,5.8,412.0,1621.0,2033.0,,17.06,412.0,3967.0,4379.0,,6.62,412.0,3886.0,4298.0,,4.86,412.0,3774.0,4186.0
99,214.89,412.0,2346.0,2758.0,,6.54,412.0,1622.0,2034.0,,17.95,412.0,3967.0,4379.0,,9.49,412.0,3887.0,4299.0,,4.95,412.0,3775.0,4187.0
100,213.98,1017.0,1704.0,2721.0,,210.3,412.0,1621.0,2033.0,,20.05,412.0,3969.0,4381.0,,8.62,412.0,3886.0,4298.0,,1017.21,486.0,3840.0,4326.0
101,213.13,412.0,1703.0,2115.0,,5.66,412.0,1623.0,2035.0,,17.56,412.0,3967.0,4379.0,,7.43,412.0,3885.0,4297.0,,5.47,412.0,3774.0,4186.0
102,1041.76,486.0,1704.0,2190.0,,6.98,412.0,2264.0,2676.0,,17.1,412.0,3968.0,4380.0,,6.64,412.0,3887.0,4299.0,,5.13,412.0,3773.0,4185.0
103,8.55,412.0,1705.0,2117.0,,210.15,412.0,1622.0,2034.0,,17.62,412.0,3968.0,4380.0,,215.02,2004.0,3079.0,5083.0,,5.23,412.0,3774.0,4186.0
104,8.67,412.0,1705.0,2117.0,,6.55,412.0,1622.0,2034.0,,18.05,412.0,3968.0,4380.0,,12.21,2004.0,3081.0,5085.0,,5.19,412.0,3775.0,4187.0
105,8.81,346.0,1703.0,2049.0,,6.28,412.0,1620.0,2032.0,,16.96,412.0,3968.0,4380.0,,9.23,412.0,3887.0,4299.0,,8.48,2004.0,2327.0,4331.0
106,1023.39,486.0,1703.0,2189.0,,5.93,412.0,1622.0,2034.0,,16.65,412.0,3968.0,4380.0,,6.66,346.0,3887.0,4233.0,,214.73,2004.0,2326.0,4330.0
