Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
93,9.11,346.0,1703.0,2049.0,,210.75,412.0,1619.0,2031.0,,16.02,412.0,3965.0,4377.0,,214.57,2004.0,2436.0,4440.0,,5.29,412.0,3772.0,4184.0
94,1054.05,626.0,1702.0,2328.0,,1460.75,560.0,1619.0,2179.0,,1048.83,552.0,4032.0,4584.0,,6.53,412.0,3884.0,4296.0,,4.99,412.0,3772.0,4184.0
95,9.12,346.0,1703.0,2049.0,,5.51,412.0,1619.0,2031.0,,16.13,412.0,3966.0,4378.0,,6.69,412.0,3884.0,4296.0,,5.01,412.0,3771.0,4183.0
96,8.91,412.0,1702.0,2114.0,,1031.25,626.0,1621.0,2247.0,,15.99,745.0,3966.0,4711.0,,219.3,2004.0,2436.0,4440.0,,4.83,412.0,3773.0,4185.0
97,216.81,412.0,1701.0,2113.0,,5.62,412.0,1620.0,2032.0,,15.96,412.0,3965.0,4377.0,,1008.03,626.0,3950.0,4576.0,,8.61,2004.0,2324.0,4328.0
98,213.48,412.0,1702.0,2114.0,,5.65,412.0,1620.0,2032.0,,16.41,412.0,3966.0,4378.0,,6.34,412.0,3884.0,4296.0,,4.91,412.0,3771.0,4183.0
99,12.79,412.0,1702.0,2114.0,,5.19,412.0,1620.0,2032.0,,19.31,2004.0,2518.0,4522.0,,1061.41,692.0,3950.0,4642.0,,1459.54,692.0,3838.0,4530.0
100,11.07,412.0,1702.0,2114.0,,1027.67,560.0,1620.0,2180.0,,16.18,412.0,3966.0,4378.0,,6.54,412.0,3884.0,4296.0,,5.0,346.0,3771.0,4117.0
101,1045.56,486.0,1701.0,2187.0,,5.54,346.0,1621.0,1967.0,,16.19,745.0,3965.0,4710.0,,7.0,412.0,3885.0,4297.0,,4.88,412.0,3771.0,4183.0
102,8.81,412.0,1702.0,2114.0,,1057.9,486.0,1619.0,2105.0,,16.13,412.0,3967.0,4379.0,,6.34,412.0,3885.0,4297.0,,212.91,2004.0,2325.0,4329.0
103,8.83,412.0,1703.0,2115.0,,1013.42,420.0,1620.0,2040.0,,17.34,412.0,3965.0,4377.0,,7.61,412.0,3884.0,4296.0,,5.08,412.0,3772.0,4184.0
104,210.77,412.0,1701.0,2113.0,,5.54,346.0,1621.0,1967.0,,19.27,2004.0,2519.0,4523.0,,1008.05,692.0,3951.0,4643.0,,4.96,412.0,3771.0,4183.0
